state,city,city_ibge_code
AC,Acrelândia,1200013
AC,Assis Brasil,1200054
AC,Brasiléia,1200104
AC,Bujari,1200138
AC,Capixaba,1200179
AC,Cruzeiro do Sul,1200203
AC,Epitaciolândia,1200252
AC,Feijó,1200302
AC,Jordão,1200328
AC,Mâncio Lima,1200336
AC,Manoel Urbano,1200344
AC,Marechal Thaumaturgo,1200351
AC,Plácido de Castro,1200385
AC,Porto Acre,1200807
AC,Porto Walter,1200393
AC,Rio Branco,1200401
AC,Rodrigues Alves,1200427
AC,Santa Rosa do Purus,1200435
AC,Sena Madureira,1200500
AC,Senador Guiomard,1200450
AC,Tarauacá,1200609
AC,Xapuri,1200708
AL,Água Branca,2700102
AL,Anadia,2700201
AL,Arapiraca,2700300
AL,Atalaia,2700409
AL,Barra de Santo Antônio,2700508
AL,Barra de São Miguel,2700607
AL,Batalha,2700706
AL,Belém,2700805
AL,Belo Monte,2700904
AL,Boca da Mata,2701001
AL,Branquinha,2701100
AL,Cacimbinhas,2701209
AL,Cajueiro,2701308
AL,Campestre,2701357
AL,Campo Alegre,2701407
AL,Campo Grande,2701506
AL,Canapi,2701605
AL,Capela,2701704
AL,Carneiros,2701803
AL,Chã Preta,2701902
AL,Coité do Nóia,2702009
AL,Colônia Leopoldina,2702108
AL,Coqueiro Seco,2702207
AL,Coruripe,2702306
AL,Craíbas,2702355
AL,Delmiro Gouveia,2702405
AL,Dois Riachos,2702504
AL,Estrela de Alagoas,2702553
AL,Feira Grande,2702603
AL,Feliz Deserto,2702702
AL,Flexeiras,2702801
AL,Girau do Ponciano,2702900
AL,Ibateguara,2703007
AL,Igaci,2703106
AL,Igreja Nova,2703205
AL,Inhapi,2703304
AL,Jacaré dos Homens,2703403
AL,Jacuípe,2703502
AL,Japaratinga,2703601
AL,Jaramataia,2703700
AL,Jequiá da Praia,2703759
AL,Joaquim Gomes,2703809
AL,Jundiá,2703908
AL,Junqueiro,2704005
AL,Lagoa da Canoa,2704104
AL,Limoeiro de Anadia,2704203
AL,Maceió,2704302
AL,Major Isidoro,2704401
AL,Mar Vermelho,2704906
AL,Maragogi,2704500
AL,Maravilha,2704609
AL,Marechal Deodoro,2704708
AL,Maribondo,2704807
AL,Mata Grande,2705002
AL,Matriz de Camaragibe,2705101
AL,Messias,2705200
AL,Minador do Negrão,2705309
AL,Monteirópolis,2705408
AL,Murici,2705507
AL,Novo Lino,2705606
AL,Olho d'Água Grande,2705903
AL,Olho d'Água das Flores,2705705
AL,Olho d'Água do Casado,2705804
AL,Olivença,2706000
AL,Ouro Branco,2706109
AL,Palestina,2706208
AL,Palmeira dos Índios,2706307
AL,Pão de Açúcar,2706406
AL,Pariconha,2706422
AL,Paripueira,2706448
AL,Passo de Camaragibe,2706505
AL,Paulo Jacinto,2706604
AL,Penedo,2706703
AL,Piaçabuçu,2706802
AL,Pilar,2706901
AL,Pindoba,2707008
AL,Piranhas,2707107
AL,Poço das Trincheiras,2707206
AL,Porto Calvo,2707305
AL,Porto Real do Colégio,2707503
AL,Porto de Pedras,2707404
AL,Quebrangulo,2707602
AL,Rio Largo,2707701
AL,Roteiro,2707800
AL,Santa Luzia do Norte,2707909
AL,Santana do Ipanema,2708006
AL,Santana do Mundaú,2708105
AL,São Brás,2708204
AL,São José da Laje,2708303
AL,São José da Tapera,2708402
AL,São Luís do Quitunde,2708501
AL,São Miguel dos Campos,2708600
AL,São Miguel dos Milagres,2708709
AL,São Sebastião,2708808
AL,Satuba,2708907
AL,Senador Rui Palmeira,2708956
AL,Tanque d'Arca,2709004
AL,Taquarana,2709103
AL,Teotônio Vilela,2709152
AL,Traipu,2709202
AL,União dos Palmares,2709301
AL,Viçosa,2709400
AM,Alvarães,1300029
AM,Amaturá,1300060
AM,Anamã,1300086
AM,Anori,1300102
AM,Apuí,1300144
AM,Atalaia do Norte,1300201
AM,Autazes,1300300
AM,Barcelos,1300409
AM,Barreirinha,1300508
AM,Benjamin Constant,1300607
AM,Beruri,1300631
AM,Boa Vista do Ramos,1300680
AM,Boca do Acre,1300706
AM,Borba,1300805
AM,Caapiranga,1300839
AM,Canutama,1300904
AM,Carauari,1301001
AM,Careiro,1301100
AM,Careiro da Várzea,1301159
AM,Coari,1301209
AM,Codajás,1301308
AM,Eirunepé,1301407
AM,Envira,1301506
AM,Fonte Boa,1301605
AM,Guajará,1301654
AM,Humaitá,1301704
AM,Ipixuna,1301803
AM,Iranduba,1301852
AM,Itacoatiara,1301902
AM,Itamarati,1301951
AM,Itapiranga,1302009
AM,Japurá,1302108
AM,Juruá,1302207
AM,Jutaí,1302306
AM,Lábrea,1302405
AM,Manacapuru,1302504
AM,Manaquiri,1302553
AM,Manaus,1302603
AM,Manicoré,1302702
AM,Maraã,1302801
AM,Maués,1302900
AM,Nhamundá,1303007
AM,Nova Olinda do Norte,1303106
AM,Novo Airão,1303205
AM,Novo Aripuanã,1303304
AM,Parintins,1303403
AM,Pauini,1303502
AM,Presidente Figueiredo,1303536
AM,Rio Preto da Eva,1303569
AM,Santa Isabel do Rio Negro,1303601
AM,Santo Antônio do Içá,1303700
AM,São Gabriel da Cachoeira,1303809
AM,São Paulo de Olivença,1303908
AM,São Sebastião do Uatumã,1303957
AM,Silves,1304005
AM,Tabatinga,1304062
AM,Tapauá,1304104
AM,Tefé,1304203
AM,Tonantins,1304237
AM,Uarini,1304260
AM,Urucará,1304302
AM,Urucurituba,1304401
AP,Amapá,1600105
AP,Calçoene,1600204
AP,Cutias,1600212
AP,Ferreira Gomes,1600238
AP,Itaubal,1600253
AP,Laranjal do Jari,1600279
AP,Macapá,1600303
AP,Mazagão,1600402
AP,Oiapoque,1600501
AP,Pedra Branca do Amapari,1600154
AP,Porto Grande,1600535
AP,Pracuúba,1600550
AP,Santana,1600600
AP,Serra do Navio,1600055
AP,Tartarugalzinho,1600709
AP,Vitória do Jari,1600808
BA,Abaíra,2900108
BA,Abaré,2900207
BA,Acajutiba,2900306
BA,Adustina,2900355
BA,Água Fria,2900405
BA,Aiquara,2900603
BA,Alagoinhas,2900702
BA,Alcobaça,2900801
BA,Almadina,2900900
BA,Amargosa,2901007
BA,Amélia Rodrigues,2901106
BA,América Dourada,2901155
BA,Anagé,2901205
BA,Andaraí,2901304
BA,Andorinha,2901353
BA,Angical,2901403
BA,Anguera,2901502
BA,Antas,2901601
BA,Antônio Cardoso,2901700
BA,Antônio Gonçalves,2901809
BA,Aporá,2901908
BA,Apuarema,2901957
BA,Araçás,2902054
BA,Aracatu,2902005
BA,Araci,2902104
BA,Aramari,2902203
BA,Arataca,2902252
BA,Aratuípe,2902302
BA,Aurelino Leal,2902401
